行番号	アクセス修飾子	クラス名	メソッド名	仮引数の変数名リスト	可変長引数があるか	型パラメータリスト	型パラメータ記号リスト	定数名	引数の個数	引数の型リスト	戻り値の型
00008-00178	public	org.chasen.mecab.SWIGTYPE_p_p_char	wait	arg0	false			N/A	1	long	void
00008-00179	public	org.chasen.mecab.SWIGTYPE_p_p_char	wait	arg0,arg1	false			N/A	2	int,long	void
00008-00180	public	org.chasen.mecab.SWIGTYPE_p_p_char	wait		false			N/A	0		void
00008-00181	public	org.chasen.mecab.SWIGTYPE_p_p_char	getClass		false			N/A	0		java.lang.Class<?>
00008-00182	public	org.chasen.mecab.SWIGTYPE_p_p_char	hashCode		false			N/A	0		int
00008-00183	public	org.chasen.mecab.SWIGTYPE_p_p_char	equals	arg0	false			N/A	1	java.lang.Object	boolean
00008-00184	public	org.chasen.mecab.SWIGTYPE_p_p_char	notifyAll		false			N/A	0		void
00009-00185	public	org.chasen.mecab.Lattice	set_theta	arg0	false			N/A	1	float	void
00009-00186	public	org.chasen.mecab.Lattice	set_result	arg0	false			N/A	1	java.lang.String	void
00009-00187	public	org.chasen.mecab.Lattice	set_sentence	arg0	false			N/A	1	java.lang.String	void
00009-00188	public	org.chasen.mecab.Lattice	equals	arg0	false			N/A	1	java.lang.Object	boolean
00009-00189	public	org.chasen.mecab.Lattice	enumNBestAsString	arg0	false			N/A	1	long	java.lang.String
00009-00190	public	org.chasen.mecab.Lattice	Z		false			N/A	0		double
00009-00191	public	org.chasen.mecab.Lattice	request_type		false			N/A	0		int
00009-00192	public	org.chasen.mecab.Lattice	next		false			N/A	0		boolean
00009-00193	public	org.chasen.mecab.Lattice	set_request_type	arg0	false			N/A	1	int	void
00009-00194	public	org.chasen.mecab.Lattice	end_nodes	arg0	false			N/A	1	long	org.chasen.mecab.Node
00009-00195	public	org.chasen.mecab.Lattice	theta		false			N/A	0		float
00009-00196	public	org.chasen.mecab.Lattice	delete		false			N/A	0		void
00009-00197	public	org.chasen.mecab.Lattice	boundary_constraint	arg0	false			N/A	1	long	int
00009-00198	public	org.chasen.mecab.Lattice	remove_request_type	arg0	false			N/A	1	int	void
00009-00199	public	org.chasen.mecab.Lattice	size		false			N/A	0		long
00009-00200	public	org.chasen.mecab.Lattice	has_constraint		false			N/A	0		boolean
00009-00201	public	org.chasen.mecab.Lattice	set_boundary_constraint	arg0,arg1	false			N/A	2	int,long	void
00009-00202	public	org.chasen.mecab.Lattice	what		false			N/A	0		java.lang.String
00009-00203	public	org.chasen.mecab.Lattice	getCPtr	arg0	false			N/A	1	org.chasen.mecab.Lattice	long
00009-00204	public	org.chasen.mecab.Lattice	set_Z	arg0	false			N/A	1	double	void
