行番号	単語	ファイル名	開始列番号	文書
70 	 作成	 /home/aine/script-env/centos-7-6-18-10-oracle-dbeaver/init_db.sh	 40	 31	 [ -z "${USR_CNT}" ] && echo 作成するユーザー数を指定してください。&& exit 1
71 	 作成	 /home/aine/script-env/centos-7-6-18-10-oracle-dbeaver/md-dev.md	 17	 4	 pdb作成後、気持ち1分程待ってからリスナー登録するといいかんじ
72 	 作成	 /home/aine/script-env/centos-7-6-18-10-groonga-vim/md-doc.md	 9	 21	 # dockerイメージ作成
73 	 作成	 /home/aine/script-env/centos-7-6-18-10-mecab-java-vim/md-doc.md	 9	 21	 # dockerイメージ作成
74 	 作成	 /home/aine/script-env/md-doc.md	 9	 21	 # dockerイメージ作成
75 	 作成	 /home/aine/script-env/centos-7-6-18-10-vim/md-doc.md	 9	 21	 # dockerイメージ作成
76 	 作成	 /home/aine/script-env/ubuntu-19-10-wine-vim/md-doc.md	 9	 21	 # dockerイメージ作成
77 	 作成	 /home/aine/script-env/centos-7-6-18-10-postgres-dbeaver/md-doc.md	 9	 21	 # dockerイメージ作成
78 	 作成	 /home/aine/script-env/ubuntu-19-10-java-apache_solr-vim/md-man.md	 4	 7	 コア作成（データベース作成みたいなもん）
79 	 作成	 /home/aine/script-env/ubuntu-19-10-java-apache_solr-vim/md-man.md	 370	 10	 コアの作成（レプリカ数を指定）
80 	 作成	 /home/aine/script-env/ubuntu-19-10-java-apache_solr-vim/md-man.md	 464	 19	 コアのカラム作成
81 	 作成	 /home/aine/script-env/ubuntu-19-10-java-apache_solr-vim/md-doc.md	 9	 21	 # dockerイメージ作成
82 	 作成	 /home/aine/script-env/ubuntu-19-10-java-apache_solr-vim/md-dev.md	 73	 9	 - コア作成
83 	 作成	 /home/aine/script-env/centos-7-6-18-10-mysql-dbeaver/md-man.md	 1	 30	 # ユーザー定義関数の作成
84 	 作成	 /home/aine/script-env/centos-7-6-18-10-mysql-dbeaver/md-man.md	 26	 40	 ダイナミックリンクファイル作成されているか確認
85 	 作成	 /home/aine/script-env/centos-7-6-18-10-mysql-dbeaver/md-doc.md	 9	 21	 # dockerイメージ作成
86 	 作成	 /home/aine/script-env/ubuntu-18-04-python-django-pycharm/md-man.md	 10	 21	 # dockerイメージ作成
87 	 作成	 /home/aine/script-env/ubuntu-18-04-python-django-pycharm/md-man.md	 74	 54	 # django-adminコマンドによるプロジェクト作成
88 	 作成	 /home/aine/script-env/ubuntu-18-04-python-django-pycharm/md-doc.md	 9	 21	 # dockerイメージ作成
89 	 作成	 /home/aine/script-env/ubuntu-19-10-mysql-dbeaver/md-man.md	 5	 21	 # dockerイメージ作成
90 	 作成	 /home/aine/script-env/ubuntu-19-10-mysql-dbeaver/md-man.md	 99	 22	 一般ユーザーの作成
91 	 作成	 /home/aine/script-env/ubuntu-19-10-mysql-dbeaver/md-man.md	 109	 19	 データベース作成
92 	 作成	 /home/aine/script-env/ubuntu-19-10-mysql-dbeaver/md-man.md	 194	 30	 # ユーザー定義関数の作成
