type	name	mode	prot	user	group	size	last-modified	directories	files
file	/etc/acpi/events/asus-keyboard-backlight-down	0644	-rw-r--r--	root	root	271	2019-01-31T19:28:22		
file	/etc/acpi/events/asus-keyboard-backlight-up	0644	-rw-r--r--	root	root	265	2019-01-31T19:28:22		
file	/etc/acpi/events/asus-wireless-off	0644	-rw-r--r--	root	root	73	2019-01-31T19:28:22		
file	/etc/acpi/events/asus-wireless-on	0644	-rw-r--r--	root	root	72	2019-01-31T19:28:22		
file	/etc/acpi/events/ibm-wireless	0644	-rw-r--r--	root	root	223	2019-01-31T19:28:22		
file	/etc/acpi/events/lenovo-undock	0644	-rw-r--r--	root	root	67	2019-01-31T19:28:22		
file	/etc/acpi/events/thinkpad-cmos	0644	-rw-r--r--	root	root	277	2019-01-31T19:28:22		
file	/etc/acpi/events/tosh-wireless	0644	-rw-r--r--	root	root	222	2019-01-31T19:28:22		
file	/etc/acpi/ibm-wireless.sh	0755	-rwxr-xr-x	root	root	608	2019-01-31T19:28:22		
file	/etc/acpi/tosh-wireless.sh	0755	-rwxr-xr-x	root	root	455	2019-01-31T19:28:22		
file	/etc/acpi/undock.sh	0755	-rwxr-xr-x	root	root	238	2019-01-31T19:28:22		
file	/etc/adduser.conf	0644	-rw-r--r--	root	root	3.0K	2020-05-05T13:31:05		
directory	/etc/alsa	0755	drwxr-xr-x	root	root	4.0K	2020-05-06T04:40:18		
directory	/etc/alsa/conf.d	0755	drwxr-xr-x	root	root	4.0K	2020-09-08T07:36:32		
link	/etc/alsa/conf.d/10-samplerate.conf	0777	lrwxrwxrwx	root	root	46	2020-08-14T21:52:10		
link	/etc/alsa/conf.d/10-speexrate.conf	0777	lrwxrwxrwx	root	root	45	2020-08-14T21:52:10		
link	/etc/alsa/conf.d/50-arcam-av-ctl.conf	0777	lrwxrwxrwx	root	root	48	2020-08-14T21:52:10		
link	/etc/alsa/conf.d/50-jack.conf	0777	lrwxrwxrwx	root	root	40	2020-08-14T21:52:10		
link	/etc/alsa/conf.d/50-oss.conf	0777	lrwxrwxrwx	root	root	39	2020-08-14T21:52:10		
link	/etc/alsa/conf.d/50-pulseaudio.conf	0777	lrwxrwxrwx	root	root	46	2020-08-14T21:52:10		
link	/etc/alsa/conf.d/60-upmix.conf	0777	lrwxrwxrwx	root	root	41	2020-08-14T21:52:10		
link	/etc/alsa/conf.d/60-vdownmix.conf	0777	lrwxrwxrwx	root	root	44	2020-08-14T21:52:10		
link	/etc/alsa/conf.d/98-usb-stream.conf	0777	lrwxrwxrwx	root	root	46	2020-08-14T21:52:10		
link	/etc/alsa/conf.d/99-pulse.conf	0777	lrwxrwxrwx	root	root	38	2020-08-13T19:53:08		
file	/etc/alsa/conf.d/99-pulseaudio-default.conf.example	0644	-rw-r--r--	root	root	201	2020-03-04T17:40:30		
directory	/etc/alternatives	0755	drwxr-xr-x	root	root	12K	2020-09-12T17:39:40		
file	/etc/alternatives/README	0644	-rw-r--r--	root	root	100	2020-03-23T15:12:54		
link	/etc/alternatives/aclocal	0777	lrwxrwxrwx	root	root	21	2020-08-14T22:56:19		
link	/etc/alternatives/aclocal.1.gz	0777	lrwxrwxrwx	root	root	37	2020-08-14T22:56:19		
link	/etc/alternatives/animate	0777	lrwxrwxrwx	root	root	24	2020-08-15T13:33:20		
link	/etc/alternatives/animate-im6	0777	lrwxrwxrwx	root	root	24	2020-08-15T13:33:20		
link	/etc/alternatives/animate-im6.1.gz	0777	lrwxrwxrwx	root	root	40	2020-08-15T13:33:20		
link	/etc/alternatives/animate.1.gz	0777	lrwxrwxrwx	root	root	40	2020-08-15T13:33:20		
link	/etc/alternatives/arptables	0777	lrwxrwxrwx	root	root	23	2020-08-14T21:52:10		
link	/etc/alternatives/arptables-restore	0777	lrwxrwxrwx	root	root	31	2020-08-14T21:52:10		
link	/etc/alternatives/arptables-save	0777	lrwxrwxrwx	root	root	28	2020-08-14T21:52:10		
link	/etc/alternatives/automake	0777	lrwxrwxrwx	root	root	22	2020-08-14T22:56:19		
link	/etc/alternatives/automake.1.gz	0777	lrwxrwxrwx	root	root	38	2020-08-14T22:56:19		
link	/etc/alternatives/awk	0777	lrwxrwxrwx	root	root	13	2020-08-26T11:37:58		
link	/etc/alternatives/awk.1.gz	0777	lrwxrwxrwx	root	root	29	2020-08-26T11:37:58		
link	/etc/alternatives/bibtex	0777	lrwxrwxrwx	root	root	24	2020-08-14T22:56:16		
