type	name	mode	prot	user	group
link	/bin/bzfgrep	0777	lrwxrwxrwx	root	root
file	/bin/bzgrep	0755	-rwxr-xr-x	root	root
file	/bin/bzip2	0755	-rwxr-xr-x	root	root
file	/bin/bzip2recover	0755	-rwxr-xr-x	root	root
link	/bin/bzless	0777	lrwxrwxrwx	root	root
file	/bin/bzmore	0755	-rwxr-xr-x	root	root
link	/bin/c++	0777	lrwxrwxrwx	root	root
link	/bin/c++filt	0777	lrwxrwxrwx	root	root
link	/bin/c89	0777	lrwxrwxrwx	root	root
file	/bin/c89-gcc	0755	-rwxr-xr-x	root	root
link	/bin/c99	0777	lrwxrwxrwx	root	root
file	/bin/c99-gcc	0755	-rwxr-xr-x	root	root
file	/bin/c_rehash	0755	-rwxr-xr-x	root	root
file	/bin/cabextract	0755	-rwxr-xr-x	root	root
link	/bin/cachepic	0777	lrwxrwxrwx	root	root
link	/bin/cal	0777	lrwxrwxrwx	root	root
file	/bin/calendar	0755	-rwxr-xr-x	root	root
file	/bin/calibrate_ppa	0755	-rwxr-xr-x	root	root
file	/bin/canberra-gtk-play	0755	-rwxr-xr-x	root	root
file	/bin/cancel	0755	-rwxr-xr-x	root	root
link	/bin/captoinfo	0777	lrwxrwxrwx	root	root
file	/bin/car	0755	-rwxr-xr-x	root	root
file	/bin/cat	0755	-rwxr-xr-x	root	root
file	/bin/catchsegv	0755	-rwxr-xr-x	root	root
file	/bin/catman	0755	-rwxr-xr-x	root	root
file	/bin/cautious-launcher	0755	-rwxr-xr-x	root	root
link	/bin/cc	0777	lrwxrwxrwx	root	root
file	/bin/cd-create-profile	0755	-rwxr-xr-x	root	root
file	/bin/cd-fix-profile	0755	-rwxr-xr-x	root	root
file	/bin/cd-iccdump	0755	-rwxr-xr-x	root	root
file	/bin/cd-it8	0755	-rwxr-xr-x	root	root
file	/bin/cert-sync	0755	-rwxr-xr-x	root	root
file	/bin/cgroupfs-mount	0755	-rwxr-xr-x	root	root
file	/bin/cgroupfs-umount	0755	-rwxr-xr-x	root	root
file	/bin/chacl	0755	-rwxr-xr-x	root	root
file	/bin/chage	2755	-rwxr-sr-x	root	shadow
link	/bin/chardet3	0777	lrwxrwxrwx	root	root
file	/bin/chardetect3	0755	-rwxr-xr-x	root	root
file	/bin/chattr	0755	-rwxr-xr-x	root	root
file	/bin/chcon	0755	-rwxr-xr-x	root	root
file	/bin/check-language-support	0755	-rwxr-xr-x	root	root
file	/bin/cheese	0755	-rwxr-xr-x	root	root
file	/bin/chfn	4755	-rwsr-xr-x	root	root
file	/bin/chgrp	0755	-rwxr-xr-x	root	root
file	/bin/chkdvifont	0755	-rwxr-xr-x	root	root
file	/bin/chmod	0755	-rwxr-xr-x	root	root
file	/bin/choom	0755	-rwxr-xr-x	root	root
file	/bin/chown	0755	-rwxr-xr-x	root	root
file	/bin/chronic	0755	-rwxr-xr-x	root	root
file	/bin/chrt	0755	-rwxr-xr-x	root	root
file	/bin/chsh	4755	-rwsr-xr-x	root	root
file	/bin/chvt	0755	-rwxr-xr-x	root	root
file	/bin/ciptool	0755	-rwxr-xr-x	root	root
file	/bin/ckbcomp	0755	-rwxr-xr-x	root	root
file	/bin/cksum	0755	-rwxr-xr-x	root	root
file	/bin/clear	0755	-rwxr-xr-x	root	root
file	/bin/clear_console	0755	-rwxr-xr-x	root	root
link	/bin/cli	0777	lrwxrwxrwx	root	root
link	/bin/cli-gacutil	0777	lrwxrwxrwx	root	root
file	/bin/cmp	0755	-rwxr-xr-x	root	root
file	/bin/cmuwmtopbm	0755	-rwxr-xr-x	root	root
link	/bin/code	0777	lrwxrwxrwx	root	root
file	/bin/codepage	0755	-rwxr-xr-x	root	root
file	/bin/col	0755	-rwxr-xr-x	root	root
file	/bin/colcrt	0755	-rwxr-xr-x	root	root
file	/bin/collateindex.pl	0755	-rwxr-xr-x	root	root
file	/bin/colormgr	0755	-rwxr-xr-x	root	root
file	/bin/colrm	0755	-rwxr-xr-x	root	root
file	/bin/column	0755	-rwxr-xr-x	root	root
file	/bin/combine	0755	-rwxr-xr-x	root	root
file	/bin/comm	0755	-rwxr-xr-x	root	root
link	/bin/compare	0777	lrwxrwxrwx	root	root
link	/bin/compare-im6	0777	lrwxrwxrwx	root	root
file	/bin/compare-im6.q16	0755	-rwxr-xr-x	root	root
link	/bin/compose	0777	lrwxrwxrwx	root	root
link	/bin/composite	0777	lrwxrwxrwx	root	root
link	/bin/composite-im6	0777	lrwxrwxrwx	root	root
file	/bin/composite-im6.q16	0755	-rwxr-xr-x	root	root
link	/bin/conjure	0777	lrwxrwxrwx	root	root
link	/bin/conjure-im6	0777	lrwxrwxrwx	root	root
file	/bin/conjure-im6.q16	0755	-rwxr-xr-x	root	root
file	/bin/containerd	0755	-rwxr-xr-x	root	root
file	/bin/containerd-shim	0755	-rwxr-xr-x	root	root
file	/bin/containerd-shim-runc-v1	0755	-rwxr-xr-x	root	root
link	/bin/convert	0777	lrwxrwxrwx	root	root
link	/bin/convert-im6	0777	lrwxrwxrwx	root	root
file	/bin/convert-im6.q16	0755	-rwxr-xr-x	root	root
file	/bin/corelist	0755	-rwxr-xr-x	root	root
