name	version	resolved	integrity	requires	depend_on_name	depend_on_version	depend_on_resolved	depend_on_integrity	depend_on_requires
@babel/helper-annotate-as-pure	7.10.4	https://registry.npmjs.org/@babel/helper-annotate-as-pure/-/helper-annotate-as-pure-7.10.4.tgz	sha512-XQlqKQP4vXFB7BN8fEEerrmYvHp3fK/rBkRFz9jaJbzK0B1DSfej9Kc7ZzE8Z/OnId1jpJdNAZ3BFQjWG68rcA==	@babel/types:^7.10.4					
punycode	2.1.1	https://registry.npmjs.org/punycode/-/punycode-2.1.1.tgz	sha512-XRsRjdf+j5ml+y/6GKHPZbrF/8p2Yga0JPtdqTIY2Xe5ohJPD9saDJJLPvp9+NSBprVvevdXZybnj2cv8OEd0A==						
available-typed-arrays	1.0.2	https://registry.npmjs.org/available-typed-arrays/-/available-typed-arrays-1.0.2.tgz	sha512-XWX3OX8Onv97LMk/ftVyBibpGwY5a8SmuxZPzeOxqmuEqUCOM9ZE+uIaD1VNJ5QnvU2UQusvmKbuM1FR8QWGfQ==	array-filter:^1.0.0					
@babel/plugin-transform-literals	7.10.4	https://registry.npmjs.org/@babel/plugin-transform-literals/-/plugin-transform-literals-7.10.4.tgz	sha512-Xd/dFSTEVuUWnyZiMu76/InZxLTYilOSr1UlHV+p115Z/Le2Fi1KXkJUYz0b42DfndostYlPub3m8ZTQlMaiqQ==	@babel/helper-plugin-utils:^7.10.4					
@nuxtjs/youch	4.2.3	https://registry.npmjs.org/@nuxtjs/youch/-/youch-4.2.3.tgz	sha512-XiTWdadTwtmL/IGkNqbVe+dOlT+IMvcBu7TvKI7plWhVQeBCQ9iKhk3jgvVWFyiwL2yHJDlEwOM5v9oVES5Xmw==		cookie	0.3.1	https://registry.npmjs.org/cookie/-/cookie-0.3.1.tgz	sha1-5+Ch+e9DtMi6klxcWpboBtFoc7s=	
@babel/plugin-transform-modules-commonjs	7.10.4	https://registry.npmjs.org/@babel/plugin-transform-modules-commonjs/-/plugin-transform-modules-commonjs-7.10.4.tgz	sha512-Xj7Uq5o80HDLlW64rVfDBhao6OX89HKUmb+9vWYaLXBZOma4gA6tw4Ni1O5qVDoZWUV0fxMYA0aYzOawz0l+1w==	@babel/helper-module-transforms:^7.10.4,@babel/helper-plugin-utils:^7.10.4,@babel/helper-simple-access:^7.10.4,babel-plugin-dynamic-import-node:^2.3.3					
@webassemblyjs/helper-wasm-section	1.9.0	https://registry.npmjs.org/@webassemblyjs/helper-wasm-section/-/helper-wasm-section-1.9.0.tgz	sha512-XnMB8l3ek4tvrKUUku+IVaXNHz2YsJyOOmz+MMkZvh8h1uSJpSen6vYnw3IoQ7WwEuAhL8Efjms1ZWjqh2agvw==	@webassemblyjs/ast:1.9.0,@webassemblyjs/helper-buffer:1.9.0,@webassemblyjs/helper-wasm-bytecode:1.9.0,@webassemblyjs/wasm-gen:1.9.0					
@babel/plugin-syntax-object-rest-spread	7.8.3	https://registry.npmjs.org/@babel/plugin-syntax-object-rest-spread/-/plugin-syntax-object-rest-spread-7.8.3.tgz	sha512-XoqMijGZb9y3y2XskN+P1wUGiVwWZ5JmoDRwx5+3GmEplNyVM2s2Dg8ILFQm8rWM48orGy5YpI5Bl8U1y7ydlA==	@babel/helper-plugin-utils:^7.8.0					
bluebird	3.7.2	https://registry.npmjs.org/bluebird/-/bluebird-3.7.2.tgz	sha512-XpNj6GDQzdfW+r2Wnn7xiSAd7TM3jzkxGXBGTtWKuSXv1xUV+azxAm8jdWZN06QTQk+2N2XB9jRDkvbmQmcRtg==						
autoprefixer	9.8.6	https://registry.npmjs.org/autoprefixer/-/autoprefixer-9.8.6.tgz	sha512-XrvP4VVHdRBCdX1S3WXVD8+RyG9qeb1D5Sn1DeLiG2xfSpzellk5k54xbUERJ3M5DggQxes39UGOTP8CFrEGbg==	browserslist:^4.12.0,caniuse-lite:^1.0.30001109,colorette:^1.2.1,normalize-range:^0.1.2,num2fraction:^1.2.2,postcss:^7.0.32,postcss-value-parser:^4.1.0					
