パッケージ名	キー	バリュー
os	div-dl-dd-36-a	func Remove(name string) error
os	div-dl-dd-37-a	func RemoveAll(path string) error
os	div-dl-dd-38-a	func Rename(oldpath, newpath string) error
os	div-dl-dd-39-a	func SameFile(fi1, fi2 FileInfo) bool
os	div-dl-dd-40-a	func Setenv(key, value string) error
os	div-dl-dd-41-a	func Symlink(oldname, newname string) error
os	div-dl-dd-42-a	func TempDir() string
os	div-dl-dd-43-a	func Truncate(name string, size int64) error
os	div-dl-dd-44-a	func Unsetenv(key string) error
os	div-dl-dd-45-a	func UserCacheDir() (string, error)
os	div-dl-dd-46-a	func UserConfigDir() (string, error)
os	div-dl-dd-47-a	func UserHomeDir() (string, error)
os	div-dl-dd-48-a	type File
os	div-dl-dd-49-a	func Create(name string) (*File, error)
os	div-dl-dd-50-a	func NewFile(fd uintptr, name string) *File
os	div-dl-dd-51-a	func Open(name string) (*File, error)
os	div-dl-dd-52-a	func OpenFile(name string, flag int, perm FileMode) (*File, error)
os	div-dl-dd-53-a	func (f *File) Chdir() error
os	div-dl-dd-54-a	func (f *File) Chmod(mode FileMode) error
os	div-dl-dd-55-a	func (f *File) Chown(uid, gid int) error
os	div-dl-dd-56-a	func (f *File) Close() error
os	div-dl-dd-57-a	func (f *File) Fd() uintptr
os	div-dl-dd-58-a	func (f *File) Name() string
os	div-dl-dd-59-a	func (f *File) Read(b []byte) (n int, err error)
os	div-dl-dd-60-a	func (f *File) ReadAt(b []byte, off int64) (n int, err error)
os	div-dl-dd-61-a	func (f *File) Readdir(n int) ([]FileInfo, error)
os	div-dl-dd-62-a	func (f *File) Readdirnames(n int) (names []string, err error)
os	div-dl-dd-63-a	func (f *File) Seek(offset int64, whence int) (ret int64, err error)
os	div-dl-dd-64-a	func (f *File) SetDeadline(t time.Time) error
os	div-dl-dd-65-a	func (f *File) SetReadDeadline(t time.Time) error
os	div-dl-dd-66-a	func (f *File) SetWriteDeadline(t time.Time) error
os	div-dl-dd-67-a	func (f *File) Stat() (FileInfo, error)
os	div-dl-dd-68-a	func (f *File) Sync() error
os	div-dl-dd-69-a	func (f *File) SyscallConn() (syscall.RawConn, error)
os	div-dl-dd-70-a	func (f *File) Truncate(size int64) error
os	div-dl-dd-71-a	func (f *File) Write(b []byte) (n int, err error)
os	div-dl-dd-72-a	func (f *File) WriteAt(b []byte, off int64) (n int, err error)
os	div-dl-dd-73-a	func (f *File) WriteString(s string) (n int, err error)
os	div-dl-dd-74-a	type FileInfo
os	div-dl-dd-75-a	func Lstat(name string) (FileInfo, error)
os	div-dl-dd-76-a	func Stat(name string) (FileInfo, error)
os	div-dl-dd-77-a	type FileMode
os	div-dl-dd-78-a	func (m FileMode) IsDir() bool
os	div-dl-dd-79-a	func (m FileMode) IsRegular() bool
os	div-dl-dd-80-a	func (m FileMode) Perm() FileMode
os	div-dl-dd-81-a	func (m FileMode) String() string
os	div-dl-dd-82-a	type LinkError
os	div-dl-dd-83-a	func (e *LinkError) Error() string
os	div-dl-dd-84-a	func (e *LinkError) Unwrap() error
os	div-dl-dd-85-a	type PathError
os	div-dl-dd-86-a	func (e *PathError) Error() string
os	div-dl-dd-87-a	func (e *PathError) Timeout() bool
os	div-dl-dd-88-a	func (e *PathError) Unwrap() error
os	div-dl-dd-89-a	type ProcAttr
os	div-dl-dd-90-a	type Process
os	div-dl-dd-91-a	func FindProcess(pid int) (*Process, error)
os	div-dl-dd-92-a	func StartProcess(name string, argv []string, attr *ProcAttr) (*Process, error)
os	div-dl-dd-93-a	func (p *Process) Kill() error
os	div-dl-dd-94-a	func (p *Process) Release() error
os	div-dl-dd-95-a	func (p *Process) Signal(sig Signal) error
os	div-dl-dd-96-a	func (p *Process) Wait() (*ProcessState, error)
os	div-dl-dd-97-a	type ProcessState
os	div-dl-dd-98-a	func (p *ProcessState) ExitCode() int
os	div-dl-dd-99-a	func (p *ProcessState) Exited() bool
os	div-dl-dd-100-a	func (p *ProcessState) Pid() int
os	div-dl-dd-101-a	func (p *ProcessState) String() string
os	div-dl-dd-102-a	func (p *ProcessState) Success() bool
os	div-dl-dd-103-a	func (p *ProcessState) Sys() interface{}
os	div-dl-dd-104-a	func (p *ProcessState) SysUsage() interface{}
os	div-dl-dd-105-a	func (p *ProcessState) SystemTime() time.Duration
os	div-dl-dd-106-a	func (p *ProcessState) UserTime() time.Duration
os	div-dl-dd-107-a	type Signal
os	div-dl-dd-108-a	type SyscallError
os	div-dl-dd-109-a	func (e *SyscallError) Error() string
os	div-dl-dd-110-a	func (e *SyscallError) Timeout() bool
os	div-dl-dd-111-a	func (e *SyscallError) Unwrap() error
os	div-id	manual-nav
