パッケージ名	キー	バリュー
net/http	div-dl-dd-45-a	func TimeoutHandler(h Handler, dt time.Duration, msg string) Handler
net/http	div-dl-dd-46-a	type HandlerFunc
net/http	div-dl-dd-47-a	func (f HandlerFunc) ServeHTTP(w ResponseWriter, r *Request)
net/http	div-dl-dd-48-a	type Header
net/http	div-dl-dd-49-a	func (h Header) Add(key, value string)
net/http	div-dl-dd-50-a	func (h Header) Clone() Header
net/http	div-dl-dd-51-a	func (h Header) Del(key string)
net/http	div-dl-dd-52-a	func (h Header) Get(key string) string
net/http	div-dl-dd-53-a	func (h Header) Set(key, value string)
net/http	div-dl-dd-54-a	func (h Header) Values(key string) []string
net/http	div-dl-dd-55-a	func (h Header) Write(w io.Writer) error
net/http	div-dl-dd-56-a	func (h Header) WriteSubset(w io.Writer, exclude map[string]bool) error
net/http	div-dl-dd-57-a	type Hijacker
net/http	div-dl-dd-58-a	type ProtocolError
net/http	div-dl-dd-59-a	func (pe *ProtocolError) Error() string
net/http	div-dl-dd-60-a	type PushOptions
net/http	div-dl-dd-61-a	type Pusher
net/http	div-dl-dd-62-a	type Request
net/http	div-dl-dd-63-a	func NewRequest(method, url string, body io.Reader) (*Request, error)
net/http	div-dl-dd-64-a	func NewRequestWithContext(ctx context.Context, method, url string, body io.Reader) (*Request, error)
net/http	div-dl-dd-65-a	func ReadRequest(b *bufio.Reader) (*Request, error)
net/http	div-dl-dd-66-a	func (r *Request) AddCookie(c *Cookie)
net/http	div-dl-dd-67-a	func (r *Request) BasicAuth() (username, password string, ok bool)
net/http	div-dl-dd-68-a	func (r *Request) Clone(ctx context.Context) *Request
net/http	div-dl-dd-69-a	func (r *Request) Context() context.Co\nntext
net/http	div-dl-dd-70-a	func (r *Request) Cookie(name string) (*Cookie, error)
net/http	div-dl-dd-71-a	func (r *Request) Cookies() []*Cookie
net/http	div-dl-dd-72-a	func (r *Request) FormFile(key string) (multipart.File, *multipart.FileHeader, error)
net/http	div-dl-dd-73-a	func (r *Request) FormValue(key string) string
net/http	div-dl-dd-74-a	func (r *Request) MultipartReader() (*multipart.Reader, error)
net/http	div-dl-dd-75-a	func (r *Request) ParseForm() error
net/http	div-dl-dd-76-a	func (r *Request) ParseMultipartForm(maxMemory int64) error
net/http	div-dl-dd-77-a	func (r *Request) PostFormValue(key string) string
net/http	div-dl-dd-78-a	func (r *Request) ProtoAtLeast(major, minor int) bool
net/http	div-dl-dd-79-a	func (r *Request) Referer() string
net/http	div-dl-dd-80-a	func (r *Request) SetBasicAuth(username, password string)
net/http	div-dl-dd-81-a	func (r *Request) UserAgent() string
net/http	div-dl-dd-82-a	func (r *Request) WithContext(ctx context.Context) *Request
net/http	div-dl-dd-83-a	func (r *Request) Write(w io.Writer) error
net/http	div-dl-dd-84-a	func (r *Request) WriteProxy(w io.Writer) error
net/http	div-dl-dd-85-a	type Response
net/http	div-dl-dd-86-a	func Get(url string) (resp *Response, err error)
net/http	div-dl-dd-87-a	func Head(url string) (resp *Response, err error)
net/http	div-dl-dd-88-a	func Post(url, contentType string, body io.Reader) (resp *Response, err error)
net/http	div-dl-dd-89-a	func PostForm(url string, data url.Values) (resp *Response, err error)
net/http	div-dl-dd-90-a	func ReadResponse(r *bufio.Reader, req *Request) (*Response, error)
net/http	div-dl-dd-91-a	func (r *Response) Cookies() []*Cookie
net/http	div-dl-dd-92-a	func (r *Response) Location() (*url.URL, error)
net/http	div-dl-dd-93-a	func (r *Response) ProtoAtLeast(major, minor int) bool
net/http	div-dl-dd-94-a	func (r *Response) Write(w io.Writer) error
net/http	div-dl-dd-95-a	type ResponseWriter
net/http	div-dl-dd-96-a	type RoundTripper
net/http	div-dl-dd-97-a	func NewFileTransport(fs FileSystem) RoundTripper
net/http	div-dl-dd-98-a	type SameSite
net/http	div-dl-dd-99-a	type ServeMux
net/http	div-dl-dd-100-a	func NewServeMux() *ServeMux
net/http	div-dl-dd-101-a	func (mux *ServeMux) Handle(pattern string, handler Handler)
net/http	div-dl-dd-102-a	func (mux *ServeMux) HandleFunc(pattern string, handler func(ResponseWriter, *Request))
net/http	div-dl-dd-103-a	func (mux *ServeMux) Handler(r *Request) (h Handler, pattern string)
net/http	div-dl-dd-104-a	func (mux *ServeMux) ServeHTTP(w ResponseWriter, r *Request)
net/http	div-dl-dd-105-a	type Server
net/http	div-dl-dd-106-a	func (srv *Server) Close() error
net/http	div-dl-dd-107-a	func (srv *Server) ListenAndServe() error
net/http	div-dl-dd-108-a	func (srv *Server) ListenAndServeTLS(certFile, keyFile string) error
net/http	div-dl-dd-109-a	func (srv *Server) RegisterOnShutdown(f func())
net/http	div-dl-dd-110-a	func (srv *Server) Serve(l net.Listener) error
net/http	div-dl-dd-111-a	func (srv *Server) ServeTLS(l net.Listener, certFile, keyFile string) error
net/http	div-dl-dd-112-a	func (srv *Server) SetKeepAlivesEnabled(v bool)
net/http	div-dl-dd-113-a	func (srv *Server) Shutdown(ctx context.Context) error
net/http	div-dl-dd-114-a	type Transport
net/http	div-dl-dd-115-a	func (t *Transport) CancelRequest(req *Request)
net/http	div-dl-dd-116-a	func (t *Transport) Clone() *Transport
net/http	div-dl-dd-117-a	func (t *Transport) CloseIdleConnections()
net/http	div-dl-dd-118-a	func (t *Transport) RegisterProtocol(scheme string, rt RoundTripper)
net/http	div-dl-dd-119-a	func (t *Transport) RoundTrip(req *Request) (*Response, error)
net/http	div-id	manual-nav
